"id","naam","added_when","added_by","timestamp"
4619,"burgersloep, verscheidene                         ","2012-08-21 09:41:18+02","DorineS                                           ","2013-03-27 11:22:14"
4620,"sloep van de inlander Abraham Pietersz            ","2012-08-21 09:47:22+02","DorineS                                           ","2012-08-21 07:47:22"
4621,"sloep van de burger Hans Nijmans                  ","2012-08-21 12:51:38+02","DorineS                                           ","2012-08-21 10:51:38"
4622,"sloep van de burger Jan Gijsbertsz                ","2012-08-21 12:54:52+02","DorineS                                           ","2012-08-21 10:54:52"
4653,"sloep, diverse                                    ","2012-09-06 15:37:10+02","SanderT                                           ","2013-03-27 10:38:01"
4655,"sloep, verscheidene                               ","2012-09-06 15:52:53+02","SanderT                                           ","2013-03-27 11:23:12"
4679,"sloep van de Chinese kapitein Ongwatko            ","2012-09-18 10:49:25+02","SanderT                                           ","2013-06-26 13:41:47"
4692,"sloep van de burger Adam Fransz                   ","2012-09-24 12:02:17+02","JorisT                                            ","2012-09-24 10:02:16"
4728,"sloep van de burger Jacob Thomas Karper           ","2012-10-11 15:01:02+02","SanderT                                           ","2012-10-11 13:01:02"
4729,"sloep van de burger Matthijs Thijsz.              ","2012-10-11 15:15:09+02","SanderT                                           ","2012-10-11 13:15:09"
4731,"sloep van de burger Samuel Gilbertsz.             ","2012-10-11 15:18:51+02","SanderT                                           ","2012-10-11 13:18:51"
4739,"sloep van de Chinees Santianho                    ","2012-10-29 15:46:33+01","DorineS                                           ","2012-10-29 14:46:21"
4761,"compagniessloep, diverse                          ","2012-12-05 10:17:11+01","NicolienK                                         ","2013-04-24 08:42:42"
4762,"sloep van de Chinees Oemko                        ","2012-12-05 10:23:49+01","DorineS                                           ","2013-03-19 15:51:41"
4763,"sloep van de weduwe Hamma                         ","2012-12-05 10:39:03+01","DorineS                                           ","2012-12-05 09:39:03"
4764,"sloep van de Chinees Alstsjeenko                  ","2012-12-05 10:42:29+01","DorineS                                           ","2013-03-19 15:51:37"
4773,"burgersloep, diverse                              ","2012-12-06 10:55:28+01","NicolienK                                         ","2013-03-27 10:37:41"
4778,"sloep van de Chinees Quetaykong                   ","2012-12-12 13:34:05+01","DorineS                                           ","2012-12-12 12:34:05"
4779,"sloep van de burger Jacob Kloek                   ","2012-12-12 13:36:30+01","DorineS                                           ","2012-12-12 12:36:30"
4780,"sloep van de burger Albert Eding                  ","2012-12-12 13:55:57+01","DorineS                                           ","2012-12-12 12:55:57"
4790,"sloep van de Makassarse burger Lodewijk Doomhouder","2012-12-17 14:51:12+01","SanderT                                           ","2012-12-17 13:51:12"
4791,"sloep van de Amboinase burgerkapitein Isaak Eenzo ","2012-12-17 15:20:13+01","SanderT                                           ","2012-12-17 14:20:13"
4792,"sloep van de Makassarse burger Jan Hendrik Croeg  ","2012-12-17 15:22:33+01","SanderT                                           ","2012-12-17 14:22:34"
4793,"sloep van de Makassarse burger Michiel de Vrede   ","2012-12-17 15:23:31+01","SanderT                                           ","2013-03-19 15:51:18"
4794,"sloep van de Chinees D'jiko                       ","2012-12-19 10:04:43+01","DorineS                                           ","2012-12-19 09:04:43"
4796,"sloep van de burger Jan van der Hulst             ","2012-12-19 12:55:56+01","NicolienK                                         ","2012-12-19 11:55:56"
4810,"sloep van de Chinees Sougonko                     ","2013-01-10 09:36:42+01","NicolienK                                         ","2013-01-10 08:36:42"
4811,"sloep van de Chinees Thaenkako                    ","2013-01-10 09:49:38+01","NicolienK                                         ","2013-01-10 08:49:38"
4812,"sloep van de Chinees Olinonko                     ","2013-01-10 10:04:01+01","NicolienK                                         ","2013-01-10 09:04:01"
